keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
ui.main_menu.title,STSL,STSL,STSL,STSL,STSL,STSL,STSL,STSL,STSL,STSL,STSL,STSL,STSL
ui.main_menu.new_game,새 게임,New Game,Nouvelle Partie,Nuova Partita,Nueva Partida,新しいゲーム,Νέο Παιχνίδι,新游戏,新游戏,Новая игра,Novo Jogo,Nowa Gra,Neues Spiel
ui.main_menu.continue,이어하기,Continue,Continuer,Continua,Continuar,続ける,Συνέχεια,继续,继续,Продолжить,Continuar,Kontynuuj,Fortsetzen
ui.main_menu.language_label,언어,Language,Langue,Lingua,Idioma,言語,Γλώσσα,语言,语言,Язык,Idioma,Język,Sprache
ui.chapter_select.title,챕터 선택,Select Chapter,Choisir un Chapitre,Seleziona Capitolo,Seleccionar Capítulo,チャプター選択,Επιλογή Κεφαλαίου,选择章节,选择章节,Выбор главы,Selecionar Capítulo,Wybierz Rozdział,Kapitel wählen
ui.chapter_select.eyebrow,챕터를 선택하세요.,Select a Chapter,Choisissez un Chapitre,Seleziona un Capitolo,Selecciona un Capítulo,チャプターを選択してください,Επιλέξτε Κεφάλαιο,请选择章节,请选择章节,Выберите главу,Selecione um Capítulo,Wybierz Rozdział,Wähle ein Kapitel
ui.chapter_select.back,뒤로,Back,Retour,Indietro,Volver,戻る,Πίσω,返回,返回,Назад,Voltar,Wstecz,Zurück
ui.chapter_select.start,챕터 시작,Start Chapter,Commencer,Inizia Capitolo,Iniciar Capítulo,チャプター開始,Έναρξη Κεφαλαίου,开始章节,开始章节,Начать главу,Iniciar Capítulo,Rozpocznij Rozdział,Kapitel starten
ui.chapter_select.locked,잠금,Locked,Verrouillé,Bloccato,Bloqueado,ロック中,Κλειδωμένο,已锁定,已锁定,Заблокировано,Bloqueado,Zablokowane,Gesperrt
ui.chapter_select.unlock_hint,이전 챕터를 클리어하면 해금됩니다.,Clear the previous chapter to unlock.,Terminez le chapitre précédent pour déverrouiller.,Completa il capitolo precedente per sbloccare.,Completa el capítulo anterior para desbloquear.,前のチャプターをクリアして解放してください。,Ολοκληρώστε το προηγούμενο κεφάλαιο για να ξεκλειδώσετε.,通关前一章节即可解锁。,通关前一章节即可解锁。,Пройдите предыдущую главу для разблокировки.,Complete o capítulo anterior para desbloquear.,Ukończ poprzedni rozdział aby odblokować.,Schließe das vorherige Kapitel ab zum Freischalten.
ui.chapter_select.chapter1.name,"챕터 1 — 지중해, 북방 신화",Chapter 1 — Mediterranean & Nordic Myths,Chapitre 1 — Mythes Méditerranéens & Nordiques,Capitolo 1 — Miti Mediterranei e Nordici,Capítulo 1 — Mitos Mediterráneos y Nórdicos,チャプター1 — 地中海・北欧神話,Κεφάλαιο 1 — Μεσογειακοί & Βορειακοί Μύθοι,第1章 — 地中海·北欧神话,第1章 — 地中海·北欧神话,Глава 1 — Средиземноморские и Северные мифы,Capítulo 1 — Mitos Mediterrâneos e Nórdicos,Rozdział 1 — Mity Śródziemnomorskie i Nordyckie,Kapitel 1 — Mittelmeer & Nordische Mythen
ui.chapter_select.chapter1.desc,"그리스, 이집트, 북유럽 신화의 적이 각 Act에 랜덤 배정됩니다.","Enemies from Greek, Egyptian, and Norse mythology are randomly assigned to each Act.","Les ennemis des mythologies grecque, égyptienne et nordique sont assignés aléatoirement à chaque Acte.","I nemici delle mitologie greca, egizia e norrena sono assegnati casualmente a ogni Atto.","Los enemigos de las mitologías griega, egipcia y nórdica se asignan aleatoriamente a cada Acto.",ギリシャ・エジプト・北欧神話の敵が各アクトにランダム配置されます。,"Εχθροί από την ελληνική, αιγυπτιακή και σκανδιναβική μυθολογία ανατίθενται τυχαία σε κάθε Πράξη.",希腊、埃及和北欧神话的敌人将随机分配到每个幕次。,希腊、埃及和北欧神话的敌人将随机分配到每个幕次。,"Враги из греческой, египетской и скандинавской мифологии случайно распределяются по Актам.","Inimigos das mitologias grega, egípcia e nórdica são designados aleatoriamente a cada Ato.","Wrogowie z mitologii greckiej, egipskiej i nordyckiej są losowo przypisywani do każdego Aktu.","Feinde aus griechischer, ägyptischer und nordischer Mythologie werden zufällig jedem Akt zugewiesen."
ui.chapter_select.chapter2.name,챕터 2 — 동아시아 신화,Chapter 2 — East Asian Myths,Chapitre 2 — Mythes d'Asie de l'Est,Capitolo 2 — Miti dell'Asia Orientale,Capítulo 2 — Mitos del Este Asiático,チャプター2 — 東アジア神話,Κεφάλαιο 2 — Μύθοι Ανατολικής Ασίας,第2章 — 东亚神话,第2章 — 东亚神话,Глава 2 — Восточноазиатские мифы,Capítulo 2 — Mitos do Leste Asiático,Rozdział 2 — Mity Wschodnioazjatyckie,Kapitel 2 — Ostasiatische Mythen
