keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
synergy.napoleon_yi.name,철벽 진군 (황제×통제사),Iron March (the Emperor x the Admiral),Marche de fer (l'Empereur x l'Amiral),Marcia di Ferro (l'Imperatore x l'Ammiraglio),Marcha de Hierro (el Emperador x el Almirante),鉄壁の進軍 (皇帝×統制使),Σιδηρά Πορεία (ο Αυτοκράτορας x ο Ναύαρχος),铁壁进军 (皇帝×统制使),铁壁进军 (皇帝×統制使),Железный марш (Император x Адмирал),Marcha de Ferro (o Imperador x o Almirante),Żelazny Marsz (Cesarz x Admirał),Eiserner Marsch (der Kaiser x der Admiral)
synergy.napoleon_yi.desc,사기 획득 시 아군 전원 방어도 +(획득 사기×5),All allies Block +(gained Morale×5) on Morale gain,Tous alliés Blocage +(Moral gagné×5) au gain de Moral,Tutti alleati Difesa +(Morale×5) al guadagno di Morale,Todos aliados Defensa +(Moral×5) al ganar Moral,士気獲得時、味方全員の防御+(獲得士気×5),Όλοι σύμμαχοι Άμυνα +(Ηθικό×5) με κέρδος Ηθικού,获得士气时全体我方护甲 +(获得士气×5),獲得士氣時全體我方护甲 +(獲得士氣×5),Все союзники Блок +(Мораль×5) при получении Морали,Todos aliados Bloqueio +(Moral×5) ao ganhar Moral,Wszyscy sojusznicy Blok +(Morale×5) przy zysku Morale,Alle Verbündeten Block +(Moral×5) bei Moral-Gewinn
synergy.yi_cleopatra.name,독침 반격 (통제사×파라오),Venom Counter (the Admiral x the Pharaoh),Contre-venin (l'Amiral x la Pharaonne),Contrattacco Avvelenato (l'Ammiraglio x la Faraona),Contraataque de Veneno (el Almirante x la Faraona),毒針反撃 (統制使×ファラオ),Δηλητηριώδης Αντεπίθεση (ο Ναύαρχος x η Φαραώ),毒针反击 (统制使×法老),毒针反击 (統制使×法老),Ядовитый контрудар (Адмирал x Фараон),Contra-veneno (o Almirante x a Faraó),Kontra Trucizną (Admirał x Faraon),Giftiger Konter (Admiral x Pharao)
synergy.yi_cleopatra.desc,파티원 피격 시 공격한 적에게 독 30 반격,Hit ally counters attacker with Poison 30,Allié touché riposte avec Poison 30 à l'attaquant,Alleato colpito ritorce Veleno 30 sull'attaccante,Aliado golpeado contraataca con Veneno 30,味方被弾時、攻撃した敵に毒30で反撃,Χτυπημένος σύμμαχος αντεπιτίθεται με Δηλητήριο 30,我方被攻击时对攻击者中毒30反击,我方被攻擊時對攻擊者中毒30反擊,Атакованный союзник отвечает Ядом 30,Aliado atingido contra-ataca com Veneno 30,Trafiony sojusznik kontruje Trucizną 30,Getroffener Verbündeter kontert mit Gift 30
synergy.napoleon_cleopatra.name,혼란의 돌격 (황제×파라오),Chaos Charge (the Emperor x the Pharaoh),Charge du chaos (l'Empereur x la Pharaonne),Carica del Caos (l'Imperatore x la Faraona),Carga del Caos (el Emperador x la Faraona),混乱の突撃 (皇帝×ファラオ),Έφοδος του Χάους (ο Αυτοκράτορας x η Φαραώ),混乱突击 (皇帝×法老),混乱突击 (皇帝×法老),Хаотическая атака (Император x Фараон),Carga do Caos (o Imperador x a Faraó),Szarża Chaosu (Cesarz x Faraon),Chaos-Sturm (Kaiser x Pharao)
synergy.napoleon_cleopatra.desc,황제의 병사 공격마다 대상 매혹 +3,Charm +3 on target per the Emperor Soldier attack,Charme +3 sur la cible par attaque de Soldat de l'Empereur,Fascino +3 sul bersaglio per attacco di Soldato dell'Imperatore,Encanto +3 al objetivo por ataque de Soldado de el Emperador,皇帝の兵士の攻撃ごとに対象へ魅惑+3,+3 Γοητεία στον στόχο ανά επίθεση Στρατιώτη του Αυτοκράτορα,皇帝的士兵每次攻击目标魅惑 +3,皇帝的士兵每次攻擊目標魅惑 +3,Очарование +3 цели за каждую атаку Солдата Императора,Encanto +3 no alvo por ataque de Soldado do Imperador,Urok +3 na cel za atak Żołnierza Cesarza,Bezauberung +3 auf Ziel pro Soldat-Angriff des Kaisers
synergy.joan_napoleon.name,성전 (성녀×황제),Holy War (the Saint x the Emperor),Guerre sainte (la Sainte x l'Empereur),Guerra Santa (la Santa x l'Imperatore),Guerra Santa (la Santa x el Emperador),聖戦 (聖女×皇帝),Ιερός Πόλεμος (η Αγία x ο Αυτοκράτορας),圣战 (圣女×皇帝),圣战 (聖女×皇帝),Святая война (Святая x Император),Guerra Santa (a Santa x o Imperador),Święta Wojna (Święta x Cesarz),Heiliger Krieg (Heilige x Kaiser)
synergy.joan_napoleon.desc,황제 사기 1당 회복 카드 효과 +7%,Heal card effect +7% per the Emperor Morale,Effet carte Soin +7% par Moral de l'Empereur,Effetto carta Cura +7% per Morale dell'Imperatore,Efecto carta Cura +7% por Moral de el Emperador,皇帝の士気1ごとに回復カード効果+7%,Επίδραση κάρτας Θεραπείας +7% ανά Ηθικό του Αυτοκράτορα,皇帝每点士气治疗牌效果 +7%,皇帝每點士氣治疗牌效果 +7%,Эффект карты Лечения +7% за Мораль Императора,Efeito de carta de Cura +7% por Moral do Imperador,Efekt karty Leczenia +7% za Morale Cesarza,Heilkarten-Effekt +7% pro Moral des Kaisers
synergy.genghis_cleopatra.name,약탈과 독 (정복자×파라오),Plunder & Poison (the Conqueror x the Pharaoh),Pillage et poison (le Conquérant x la Pharaonne),Saccheggio e Veleno (il Conquistatore x la Faraona),Saqueo y Veneno (el Conquistador x la Faraona),略奪と毒 (征服者×ファラオ),Λεηλασία και Δηλητήριο (ο Κατακτητής x η Φαραώ),掠夺与毒 (征服者×法老),掠夺与毒 (征服者×法老),Грабёж и яд (Завоеватель x Фараон),Pilhagem e Veneno (o Conquistador x a Faraó),Grabież i Trucizna (Zdobywca x Faraon),Plünderung & Gift (Eroberer x Pharao)
synergy.genghis_cleopatra.desc,정복자의 병사 공격마다 대상 독 +5,Poison +5 on target per the Conqueror Soldier attack,Poison +5 sur la cible par attaque de Soldat du Conquérant,Veleno +5 sul bersaglio per attacco di Soldato del Conquistatore,Veneno +5 al objetivo por ataque de Soldado de el Conquistador,征服者の兵士の攻撃ごとに対象へ毒+5,+5 Δηλητήριο στον στόχο ανά επίθεση Στρατιώτη του Κατακτητή,征服者的士兵每次攻击目标中毒 +5,征服者的士兵每次攻擊目標中毒 +5,Яд +5 цели за каждую атаку Солдата Завоевателя,Veneno +5 no alvo por ataque de Soldado do Conquistador,Trucizna +5 na cel za atak Żołnierza Zdobywcy,Gift +5 auf Ziel pro Soldat-Angriff des Eroberers
