keys,ko,en,fr,it,es,ja,el,zh,zh_TW
hero.napoleon.name,아우스터리츠의 태양,Sun of Austerlitz,Soleil d'Austerlitz,Sole di Austerlitz,Sol de Austerlitz,アウステルリッツの太陽,Ο Ήλιος του Άουστερλιτς,奥斯特里茨的太阳,奧斯特里茨的太陽
hero.napoleon.figure,나폴레옹 보나파르트,Napoleon Bonaparte,Napoléon Bonaparte,Napoleone Bonaparte,Napoleón Bonaparte,ナポレオン・ボナパルト,Ναπολέων Βοναπάρτης,拿破仑·波拿巴,拿破仑·波拿巴
hero.cleopatra.name,마지막 파라오,The Last Pharaoh,Le Dernier Pharaon,L'Ultimo Faraone,El Último Faraón,最後のファラオ,Ο Τελευταίος Φαραώ,最后的法老,最後的法老
hero.cleopatra.figure,클레오파트라 7세,Cleopatra VII,Cléopâtre VII,Cleopatra VII,Cleopatra VII,クレオパトラ7世,Κλεοπάτρα Ζ',克娄巴特拉七世,克娄巴特拉七世
hero.yi_sun_sin.name,불패의 통제사,The Undefeated Admiral,L'Amiral Invaincu,L'Ammiraglio Invitto,El Almirante Invicto,不敗の統制使,Ο Αήττητος Ναύαρχος,不败的统制使,不敗的統制使
hero.yi_sun_sin.figure,이순신 장군,Admiral Yi Sun-sin,Amiral Yi Sun-sin,Ammiraglio Yi Sun-sin,Almirante Yi Sun-sin,李舜臣将軍,Ναύαρχος Γι Σουν-σιν,李舜臣将军,李舜臣将军
hero.joan_of_arc.name,오를레앙의 성녀,The Maid of Orléans,La Pucelle d'Orléans,La Pulzella di Orléans,La Doncella de Orleans,オルレアンの乙女,Η Παρθένος της Ορλεάνης,奥尔良少女,奧爾良少女
hero.joan_of_arc.figure,잔 다르크,Joan of Arc,Jeanne d'Arc,Giovanna d'Arco,Juana de Arco,ジャンヌ・ダルク,Ιωάννα της Λωρραίνης,圣女贞德,圣女贞德
hero.joan_of_arc.unlock_desc,챕터 1 클리어 후 해금,Unlocked after clearing Chapter 1,Débloqué après avoir terminé le chapitre 1,Sbloccato dopo aver completato il capitolo 1,Desbloqueado tras completar el capítulo 1,チャプター1クリア後に解放,Ξεκλειδώνει μετά την ολοκλήρωση του Κεφαλαίου 1,通关第一章后解锁,通关第一章后解锁
hero.genghis_khan.name,초원의 정복자,Lord of the Steppe,Seigneur de la Steppe,Signore della Steppa,Señor de la Estepa,草原の征服者,Άρχοντας της Στέπας,草原的征服者,草原的征服者
hero.genghis_khan.figure,칭기즈 칸,Genghis Khan,Gengis Khan,Gengis Khan,Gengis Khan,チンギス・ハン,Τζένγκις Χαν,成吉思汗,成吉思汗
hero.genghis_khan.unlock_desc,오시리스 처치 후 해금,Unlocked after defeating Osiris,Débloqué après avoir vaincu Osiris,Sbloccato dopo aver sconfitto Osiride,Desbloqueado tras derrotar a Osiris,オシリス撃破後に解放,Ξεκλειδώνει μετά την ήττα του Όσιρι,击败奥西里斯后解锁,击败奥西里斯后解锁
hero.musashi.name,두 자루의 검객,The Twin-Blade Swordsman,L'Épéiste aux Deux Lames,Lo Spadaccino dalle Due Lame,El Espadachín de las Dos Hojas,二刀の剣客,Ο Ξιφομάχος με τα Δύο Σπαθιά,双刀剑客,雙刀劍客
hero.musashi.figure,미야모토 무사시,Miyamoto Musashi,Miyamoto Musashi,Miyamoto Musashi,Miyamoto Musashi,宮本武蔵,Μιγιαμότο Μουσάσι,宫本武藏,宫本武藏
hero.musashi.unlock_desc,엘리트 10회 처치 후 해금,Unlocked after defeating Elites 10 times,Débloqué après avoir vaincu 10 Élites,Sbloccato dopo aver sconfitto 10 Elite,Desbloqueado tras derrotar 10 Élites,エリートを10回撃破後に解放,Ξεκλειδώνει μετά την ήττα 10 φορών της Ελίτ,击败精英10次后解锁,擊敗精英10次後解鎖
