keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
battle.btn_end_turn,턴 종료,End Turn,Fin du tour,Fine Turno,Finalizar Turno,ターン終了,Τέλος Γύρου,结束回合,结束回合,Конец хода,Fim do Turno,Koniec Tury,Runde beenden
battle.token_tooltip,다음 턴 시작 시 상대를 공격합니다,Attacks opponent at start of next turn.,Attaque l'adversaire au début du prochain tour.,Attacca l'avversario all'inizio del prossimo turno.,Ataca al oponente al inicio del próximo turno.,次のターンの開始時に相手を攻撃します。,Επιτίθεται στον αντίπαλο στην αρχή του επόμενου γύρου.,在下一回合开始时攻击对手。,在下一回合开始时攻击对手。,Атакует противника в начале следующего хода.,Ataca o oponente no início do próximo turno.,Atakuje przeciwnika na początku następnej tury.,Greift Gegner zu Beginn der nächsten Runde an.
battle.token_soldier,병사,Soldier,Soldat,Soldato,Soldado,兵士,Στρατιώτης,士兵,士兵,Солдат,Soldado,Żołnierz,Soldat
battle.msg_intro,전투!,Battle!,Combat !,Battaglia!,¡Batalla!,戦闘！,Μάχη!,战斗！,戰鬥！,Бой!,Batalha!,Walka!,Kampf!
battle.msg_player_turn,플레이어 턴,Player Turn,Tour du Joueur,Turno Giocatore,Turno del Jugador,プレイヤーターン,Γύρος Παίκτη,玩家回合,玩家回合,Ход игрока,Turno do Jogador,Tura Gracza,Spielerrunde
battle.msg_enemy_turn,적 턴...,Enemy Turn...,Tour de l'Ennemi...,Turno Nemico...,Turno del Enemigo...,敵ターン...,Γύρος Εχθρού...,敌人回合...,敌人回合...,Ход врага...,Turno do Inimigo...,Tura Wroga...,Feindrunde...
battle.msg_victory,🏆 승리!,🏆 Victory!,🏆 Victoire !,🏆 Vittoria!,🏆 ¡Victoria!,🏆 勝利！,🏆 Νίκη!,🏆 胜利！,🏆 胜利！,🏆 Победа!,🏆 Vitória!,🏆 Zwycięstwo!,🏆 Sieg!
battle.msg_defeat,💀 패배...,💀 Defeat...,💀 Défaite...,💀 Sconfitta...,💀 Derrota...,💀 敗北...,💀 Ήττα...,💀 失败...,💀 失败...,💀 Поражение...,💀 Derrota...,💀 Porażka...,💀 Niederlage...
battle.drag_enemy,적을 선택하세요 ▶,Select Enemy ▶,Choisir l'ennemi ▶,Seleziona Nemico ▶,Seleccionar Enemigo ▶,敵を選択してください ▶,Επιλογή Εχθρού ▶,选择敌人 ▶,选择敌人 ▶,Выберите врага ▶,Selecionar Inimigo ▶,Wybierz Wroga ▶,Feind wählen ▶
battle.drag_ally,아군을 선택하세요 ▶,Select Ally ▶,Choisir l'allié ▶,Seleziona Alleato ▶,Seleccionar Aliado ▶,味方を選択してください ▶,Επιλογή Συμμάχου ▶,选择队友 ▶,选择队友 ▶,Выберите союзника ▶,Selecionar Aliado ▶,Wybierz Sojusznika ▶,Verbündeten wählen ▶
battle.drag_release,놓아서 사용 ▶,Release to Use ▶,Relâcher pour utiliser ▶,Rilascia per usare ▶,Soltar para usar ▶,離して使用 ▶,Αφήστε για Χρήση ▶,松开以使用 ▶,松开以使用 ▶,Отпустите для использования ▶,Soltar para Usar ▶,Puść by Użyć ▶,Loslassen zum Verwenden ▶
battle.intent.attack,⚔️ %d,⚔️ %d,⚔️ %d,⚔️ %d,⚔️ %d,⚔️ %d,⚔️ %d,⚔️ %d,⚔️ %d,⚔️ %d,⚔️ %d,⚔️ %d,⚔️ %d
battle.intent.buff.strength,💪,💪,💪,💪,💪,💪,💪,💪,💪,💪,💪,💪,💪
battle.intent.buff.block,🛡,🛡,🛡,🛡,🛡,🛡,🛡,🛡,🛡,🛡,🛡,🛡,🛡
battle.intent.debuff,👿,👿,👿,👿,👿,👿,👿,👿,👿,👿,👿,👿,👿
battle.intent.prepare,⏳,⏳,⏳,⏳,⏳,⏳,⏳,⏳,⏳,⏳,⏳,⏳,⏳
battle.intent.dead,💀,💀,💀,💀,💀,💀,💀,💀,💀,💀,💀,💀,💀
battle.intent.heal_ally,💚,💚,💚,💚,💚,💚,💚,💚,💚,💚,💚,💚,💚
battle.intent.buff_ally,✨,✨,✨,✨,✨,✨,✨,✨,✨,✨,✨,✨,✨
battle.intent.counter_prepare,🔄,🔄,🔄,🔄,🔄,🔄,🔄,🔄,🔄,🔄,🔄,🔄,🔄
battle.intent.mark_target,🎯,🎯,🎯,🎯,🎯,🎯,🎯,🎯,🎯,🎯,🎯,🎯,🎯
battle.intent.sacrifice,🩸,🩸,🩸,🩸,🩸,🩸,🩸,🩸,🩸,🩸,🩸,🩸,🩸
battle.intent.ward,🛡,🛡,🛡,🛡,🛡,🛡,🛡,🛡,🛡,🛡,🛡,🛡,🛡
battle.intent.summon,🐾,🐾,🐾,🐾,🐾,🐾,🐾,🐾,🐾,🐾,🐾,🐾,🐾
battle.intent.mimic,🪞,🪞,🪞,🪞,🪞,🪞,🪞,🪞,🪞,🪞,🪞,🪞,🪞
battle.intent.special,❓,❓,❓,❓,❓,❓,❓,❓,❓,❓,❓,❓,❓
battle.intent.tooltip.attack,공격 %d 데미지,Deal %d damage,Deal %d damage,Deal %d damage,Deal %d damage,敵に %d ダメージ,Προκάλεσε %d ζημιά,造成 %d 点伤害,造成 %d 點傷害,%d урона,%d de dano,%d obrażeń,%d Schaden
battle.intent.tooltip.target_all,전체,all targets,all targets,all targets,all targets,全対象,όλοι οι στόχοι,全部目标,全部目標,все цели,todos alvos,wszystkie cele,alle Ziele
battle.intent.tooltip.element,%s 속성,%s element,%s element,%s element,%s element,%s 属性,%s στοιχείο,%s 属性,%s 屬性,%s стихия,%s elemento,%s żywioł,%s Element
battle.intent.tooltip.buff_strength,자신 강화: 힘 +%d,Self: +%d strength,Self: +%d strength,Self: +%d strength,Self: +%d strength,自身強化: ストレングス +%d,Αυτο-ενίσχυση: Δύναμη +%d,自身强化: 力量 +%d,自身強化: 力量 +%d,Себе: +%d strength,Auto: +%d strength,Sobie: +%d strength,Selbst: +%d strength
battle.intent.tooltip.buff_block,자신 방어: 블록 +%d,Self: +%d block,Self: +%d block,Self: +%d block,Self: +%d block,自身防御: ブロック +%d,Αυτο-άμυνα: Μπλοκ +%d,自身防御: 格挡 +%d,自身防禦: 格擋 +%d,Себе: +%d block,Auto: +%d block,Sobie: +%d block,Selbst: +%d block
battle.intent.tooltip.buff_generic,자신 강화: %s +%d,Self buff: %s +%d,Self buff: %s +%d,Self buff: %s +%d,Self buff: %s +%d,自身強化: %s +%d,Αυτο-ενίσχυση: %s +%d,自身强化: %s +%d,自身強化: %s +%d,Себе: %s +%d,Auto: %s +%d,Sobie: %s +%d,Selbst: %s +%d
battle.intent.tooltip.debuff_weak,약화 부여 (영웅 공격 -25%%),Apply weak (-25%% atk),Apply weak (-25%% atk),Apply weak (-25%% atk),Apply weak (-25%% atk),弱体化付与（攻撃 -25%%）,Εφαρμογή Αδυναμίας (-25%% επίθεση),施加虚弱 (-25%% 攻击),施加虛弱 (-25%% 攻擊),Слабость (-25%% атк),Fraco (-25%% atq),Słabość (-25%% atk),Schwach (-25%% Angriff)
battle.intent.tooltip.debuff_vulnerable,취약 부여 (받는 데미지 +50%%),Apply vulnerable (+50%% damage taken),Apply vulnerable (+50%% damage taken),Apply vulnerable (+50%% damage taken),Apply vulnerable (+50%% damage taken),脆弱付与（被ダメ +50%%）,Εφαρμογή Ευπάθειας (+50%% ζημιά),施加易伤 (+50%% 受伤),施加易傷 (+50%% 受傷),Уязвимость (+50%% урона),Vulnerável (+50%% dano),Wrażliwy (+50%% obr.),Verwundbar (+50%% Schaden)
battle.intent.tooltip.debuff_poison,독 부여 (%d 스택),Apply poison (%d stacks),Apply poison (%d stacks),Apply poison (%d stacks),Apply poison (%d stacks),毒付与（%d スタック）,Εφαρμογή Δηλητηρίου (%d στοίβες),施加中毒 (%d 层),施加中毒 (%d 層),Яд (%d стаков),Veneno (%d pilhas),Trucizna (%d stosów),Gift (%d Stapel)
battle.intent.tooltip.debuff_charm,매혹 부여 (%d 스택),Apply charm (%d stacks),Apply charm (%d stacks),Apply charm (%d stacks),Apply charm (%d stacks),魅了付与（%d スタック）,Εφαρμογή Γοητείας (%d στοίβες),施加魅惑 (%d 层),施加魅惑 (%d 層),Очарование (%d стаков),Encanto (%d pilhas),Urok (%d stosów),Bezauberung (%d Stapel)
battle.intent.tooltip.debuff_generic,%s 부여 +%d,Apply %s +%d,Apply %s +%d,Apply %s +%d,Apply %s +%d,%s 付与 +%d,Εφαρμογή %s +%d,施加 %s +%d,施加 %s +%d,%s +%d,%s +%d,%s +%d,%s +%d
battle.intent.tooltip.prepare,준비 — 다음 차례 강한 공격 예고,Prepare — strong attack next turn,Prepare — strong attack next turn,Prepare — strong attack next turn,Prepare — strong attack next turn,準備 — 次の番に強攻撃予告,Προετοιμασία — ισχυρή επίθεση τον επόμενο γύρο,准备 — 下回合强力攻击预告,準備 — 下回合強力攻擊預告,Подготовка — сильная атака в след. ходу,Preparar — ataque forte no próx. turno,Przygotowanie — silny atak w następnej turze,Vorbereitung — starker Angriff nächste Runde
battle.intent.tooltip.heal_ally,동료 회복 +%d 체력,Heal ally +%d HP,Heal ally +%d HP,Heal ally +%d HP,Heal ally +%d HP,味方回復 +%d HP,Θεραπεία συμμάχου +%d HP,队友恢复 +%d HP,隊友恢復 +%d HP,Лечит союзника +%d HP,Cura aliado +%d HP,Lecz sojusznika +%d HP,Heile Verb. +%d HP
battle.intent.tooltip.buff_ally,동료에게 %s +%d 부여,Buff ally: %s +%d,Buff ally: %s +%d,Buff ally: %s +%d,Buff ally: %s +%d,味方に %s +%d 付与,Σύμμαχος: %s +%d,给队友施加 %s +%d,給隊友施加 %s +%d,Союзнику: %s +%d,Aliado: %s +%d,Sojusznik: %s +%d,Verb.: %s +%d
battle.intent.tooltip.counter_prepare,반격 태세 — 받은 데미지 %d%% 다음 공격에 추가,Counter — add %d%% of damage taken,Counter — add %d%% of damage taken,Counter — add %d%% of damage taken,Counter — add %d%% of damage taken,反撃態勢 — 被ダメの %d%% を次の攻撃に加算,Αντεπίθεση — προσθέτει %d%% της ζημιάς που δέχτηκε,反击态势 — 受到伤害的 %d%% 加到下次攻击,反擊態勢 — 受到傷害的 %d%% 加到下次攻擊,Контратака — +%d%% урона след. атаке,Contra-atq — +%d%% dano à próx. atq,Kontra — +%d%% obr. do nast. ataku,Konter — +%d%% Schaden zur nächsten Atk
battle.intent.tooltip.mark_target,마킹 — 표적 영웅이 받는 데미지 +50%%,Mark — marked hero takes +50%% damage,Mark — marked hero takes +50%% damage,Mark — marked hero takes +50%% damage,Mark — marked hero takes +50%% damage,マーキング — 対象英雄が被ダメ +50%%,Σήμανση — ο σημαδεμένος ήρωας δέχεται +50%% ζημιά,标记 — 被标记英雄受伤 +50%%,標記 — 被標記英雄受傷 +50%%,Метка — герой получ. +50%% урона,Marca — herói recebe +50%% dano,Znacznik — bohater +50%% obr.,Markierung — Held +50%% Schaden
