keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
effect.damage.text,피해 %d%s%s,Deal %d%s%s damage,Inflige %d%s%s dégâts,Infligge %d%s%s danni,Inflige %d%s%s de daño,%d%s%sダメージ,Προκάλεσε %d%s%s ζημιά,造成 %d%s%s 伤害,造成 %d%s%s 伤害,Нанести %d%s%s урона,Causar %d%s%s de dano,Zadaj %d%s%s obrażeń,%d%s%s Schaden zufügen
effect.block.text,방어도 %d을 얻습니다.,Gain %d Block,Gagne %d d'Armure,Ottieni %d Scudo,Gana %d de Escudo,ブロック %d,Κέρδισε %d Άμυνα,获得 %d 护甲,获得 %d 护甲,Получить %d Блока,Ganhar %d Bloqueio,Zyskaj %d Bloku,%d Block erhalten
effect.block_all.text,모든 아군이 방어도 %d을 얻습니다.,Gain %d Block to all,Gagne %d d'Armure à tous,Ottieni %d Scudo a tutti,Gana %d de Escudo a todos,全員にブロック %d,Κέρδισε %d Άμυνα για όλους,全体获得 %d 护甲,全体获得 %d 护甲,Все: %d Блока,%d Bloqueio a todos,Wszystkim: %d Bloku,Allen %d Block
effect.formation_block.text,생존한 영웅 1명당 방어도 %d을 얻습니다.,Gain %d Block per Hero,Gagne %d d'Armure par Héros,Ottieni %d Scudo per Eroe,Gana %d de Escudo por Héroe,英雄数×%d ブロック,Κέρδισε %d Άμυνα ανά Ήρωα,英雄数×%d 护甲,英雄数×%d 护甲,%d Блока на героя,%d Bloqueio por Herói,%d Bloku na Bohatera,%d Block pro Held
effect.draw.text,카드 %d장을 뽑습니다.,Draw %d,Piochez %d,Pesca %d,Roba %d,ドロー %d,Τράβηξε %d,抽 %d 张牌,抽 %d 张牌,Взять %d,Comprar %d,Dobierz %d,%d ziehen
effect.energy.text,에너지 %d을 얻습니다.,Gain %d Energy,Gagne %d Énergie,Guadagna %d Energia,Gana %d de Energía,エネルギー +%d,Κέρδισε %d Ενέργεια,能量 +%d,能量 +%d,Получить %d Энергии,Ganhar %d Energia,Zyskaj %d Energii,%d Energie erhalten
effect.heal.text,체력 %d을 회복합니다.,Heal %d,Soigne %d,Cura %d,Cura %d,回復 %d,Θεράπευσε %d,恢复 %d,恢复 %d,Лечить %d,Curar %d,Lecz %d,%d heilen
effect.heal_all.text,모든 아군의 체력 %d을 회복합니다.,Heal all for %d,Soigne tous pour %d,Cura tutti di %d,Cura a todos por %d,全員回復 %d,Θεράπευσε όλους για %d,全体恢复 %d,全体恢复 %d,Лечить всех на %d,Curar todos em %d,Lecz wszystkich na %d,Alle um %d heilen
effect.gain_morale.text,사기 %d을 얻습니다.,Gain %d Morale,Gagne %d Moral,Guadagna %d Morale,Gana %d de Moral,士気 +%d,Κέρδισε %d Ηθικό,士气 +%d,士气 +%d,Получить %d Морали,Ganhar %d Moral,Zyskaj %d Morale,%d Moral erhalten
effect.consume_morale.text,사기를 소모해 적에게 피해 %d을 입힙니다.,Morale -> %d Damage,Moral -> %d Dégâts,Morale -> %d Danni,Moral -> %d Daño,士気→ダメージ %d,Ηθικό -> %d Ζημιά,士气→伤害 %d,士气→伤害 %d,Мораль -> %d Урона,Moral -> %d Dano,Morale -> %d Obrażeń,Moral -> %d Schaden
effect.poison_burst.text,적의 독 스택만큼 즉시 피해를 입히고 독을 초기화합니다.,Trigger Poison,Déclenche le Poison,Attiva Veleno,Detona Veneno,毒即発,Ενεργοποίηση Δηλητηρίου,毒性爆发,毒性爆发,Сработать Яд,Ativar Veneno,Aktywuj Truciznę,Gift auslösen
effect.poison_burst_all.text,모든 적의 독 스택만큼 즉시 피해를 입히고 독을 초기화합니다.,Trigger Poison (All),Déclenche le Poison (Tous),Attiva Veleno (Tutti),Detona Veneno (Todos),毒即発(全体),Ενεργοποίηση Δηλητηρίου (Όλοι),毒性爆发(全体),毒性爆发(全体),Сработать Яд (Все),Ativar Veneno (Todos),Aktywuj Truciznę (Wszyscy),Gift auslösen (Alle)
effect.counter_block.text,현재 방어도의 %d%%만큼 적에게 피해를 입힙니다.,%d%% of Block,%d%% de l'Armure,%d%% dello Scudo,%d%% del Escudo,ブロック×%d%%,%d%% της Άμυνας,护甲×%d%%,护甲×%d%%,%d%% от Блока,%d%% do Bloqueio,%d%% Bloku,%d%% des Blocks
effect.cost_next.text,이번 턴 다음 카드의 비용을 %d 줄입니다.,Next cost -%d,Coût suivant -%d,Prossimo costo -%d,Siguiente coste -%d,次のコスト -%d,Επόμενο κόστος -%d,下一次费用 -%d,下一次费用 -%d,След. стоимость -%d,Próx. custo -%d,Nast. koszt -%d,Nächste Kosten -%d
effect.conditional_dmg.text,적에게 피해 %d을 입힙니다. %s 대신 피해 %d을 입힙니다.,%d / %d (%s),%d / %d (%s),%d / %d (%s),%d / %d (%s),%d / %d (%s),%d / %d (%s),%d / %d (%s),%d / %d (%s),%d / %d (%s),%d / %d (%s),%d / %d (%s),%d / %d (%s)
effect.condition.has_debuffs,디버프가 %d종 이상이라면,%d+ debuffs,%d+ débuffs,%d+ debuff,%d+ debuffs,デバフ%d種↑,%d+ αρνητικά,%d种异常↑,%d種異常↑,%d+ дебаффов,%d+ debuffs,%d+ debuffów,%d+ Debuffs
effect.condition.has_poison,독을 보유하고 있다면,if poisoned,si empoisonné,se avvelenato,si envenenado,毒保有時,αν δηλητηριασμένο,中毒时,中毒時,если отравлен,se envenenado,jeśli zatruty,wenn vergiftet
effect.condition.has_poison_n,독이 %d 이상이라면,if poison ≥%d,si poison ≥%d,se veleno ≥%d,si veneno ≥%d,毒%d以上時,αν δηλητήριο ≥%d,毒 ≥%d时,毒 ≥%d時,если яд ≥%d,se veneno ≥%d,jeśli trucizna ≥%d,wenn Gift ≥%d
effect.condition.has_morale,사기가 있다면,if has morale,si moral positif,se morale positivo,si moral positivo,士気保有時,αν έχει ηθικό,有士气时,有士氣時,если есть мораль,se tem moral,jeśli ma morale,wenn Moral vorhanden
