keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
relic.burning_blood.name,버닝 블러드,Burning Blood,Sang brûlant,Sangue Ardente,Sangre Ardiente,バーニングブラッド,Φλεγόμενο Αίμα,燃烧之血,燃烧之血,Пылающая кровь,Sangue Ardente,Płonąca Krew,Brennendes Blut
relic.burning_blood.desc,매 턴 종료 시 팀 전체 체력 +2,Team HP +2 at end of turn,PV de l'équipe +2 en fin de tour,PV squadra +2 a fine turno,PV del equipo +2 al final del turno,ターン終了時、チーム全体のHP+2,+2 HP στην ομάδα στο τέλος του γύρου,回合结束时全队HP +2,回合結束時全隊HP +2,HP команды +2 в конце хода,HP da equipe +2 ao fim do turno,HP drużyny +2 na końcu tury,Team-HP +2 am Rundenende
relic.phoenix_feather.name,불사조 깃털,Phoenix Feather,Plume de Phénix,Piuma di Fenice,Pluma de Fénix,不死鳥の羽,Φτερό Φοίνικα,不死鸟之羽,不死鸟之羽,Перо феникса,Pena de Fênix,Pióro Feniksa,Phönixfeder
relic.phoenix_feather.desc,플레이어 턴 시작 시 에너지 +1,Energy +1 at turn start,Énergie +1 au début du tour,Energia +1 a inizio turno,Energía +1 al empezar turno,プレイヤーのターン開始時、エネルギー+1,+1 Ενέργεια στην αρχή του γύρου,玩家回合开始时能量 +1,玩家回合开始时能量 +1,Энергия +1 в начале хода,Energia +1 no início do turno,Energia +1 na początku tury,Energie +1 zu Rundenbeginn
relic.poison_vial.name,독약 병,Poison Vial,Fiole de poison,Fiala di Veleno,Vial de Veneno,毒薬の瓶,Φιαλίδιο Δηλητηρίου,毒药瓶,毒药瓶,Флакон яда,Frasco de Veneno,Flakon Trucizny,Giftfläschchen
relic.poison_vial.desc,전투 시작 시 무작위 적에게 독 3,Apply Poison 3 at start,Applique Poison 3 au début,Applica Veleno 3 all'inizio,Aplica Veneno 3 al inicio,戦闘開始時、ランダムな敵に毒3を付与,3 Δηλητήριο σε τυχαίο εχθρό στη μάχη,战斗开始时随机敌方中毒 3,战斗开始时随机敌方中毒 3,Яд 3 в начале боя,Veneno 3 ao iniciar,Trucizna 3 na początku,Gift 3 zu Kampfbeginn
relic.war_drum.name,전쟁 북,War Drum,Tambour de guerre,Tamburo di Guerra,Tambor de Guerra,戦争の太鼓,Τύμπανο του Πολέμου,战争之鼓,战争之鼓,Боевой барабан,Tambor de Guerra,Bęben Wojenny,Kriegstrommel
relic.war_drum.desc,플레이어 턴 시작 시 카드 1장 추가 드로우,Draw 1 extra card at start,Pioche 1 carte bonus au début,Pesca 1 carta extra a inizio turno,Roba 1 carta extra al inicio,ターン開始時、カードを1枚追加で引く,+1 κάρτα στην αρχή του γύρου,玩家回合开始时额外抽 1 张牌,玩家回合开始时额外抽 1 张牌,Возьмите 1 доп. карту в начале хода,Comprar 1 carta extra no início,Dobierz 1 dod. kartę na początku,1 zusätzliche Karte zu Rundenbeginn
relic.ancient_artifact.name,고대 유물,Ancient Artifact,Artefact ancien,Antico Artefatto,Artefacto Antiguo,古代の遺物,Αρχαίο Τέχνεργο,古代遗物,古代遗物,Древний артефакт,Artefato Antigo,Starożytny Artefakt,Antikes Artefakt
relic.ancient_artifact.desc,팀 전체 최대 체력 +15,Team Max HP +15,PV Max de l'équipe +15,PV Max della squadra +15,PV Máx del equipo +15,チーム全体の最大HP+15,+15 Μέγιστη HP στην ομάδα,全队最大HP +15,全队最大HP +15,Макс. HP команды +15,HP Máx. da equipe +15,Maks. HP drużyny +15,Team-Max-HP +15
relic.hourglass.name,모래시계,Hourglass,Sablier,Clessidra,Reloj de Arena,砂時計,Κλεψύδρα,沙漏,沙漏,Песочные часы,Ampulheta,Klepsydra,Sanduhr
relic.hourglass.desc,턴 종료 시 덱에서 카드 1장 드로우,Draw 1 card at turn end,Pioche 1 carte en fin de tour,Pesca 1 carta a fine turno,Roba 1 carta al fin del turno,ターン終了時、デッキから1枚引く,+1 κάρτα στο τέλος του γύρου,回合结束时从牌组抽 1 张牌,回合结束时从牌组抽 1 张牌,Возьмите 1 карту в конце хода,Comprar 1 carta no fim do turno,Dobierz 1 kartę na końcu tury,1 Karte am Rundenende
relic.blood_stone.name,피의 돌,Blood Stone,Pierre de sang,Pietra di Sangue,Piedra de Sangre,血の石,Αιματόπετρα,血石,血石,Камень крови,Pedra de Sangue,Kamień Krwi,Blutstein
relic.blood_stone.desc,피해 5 이상 받을 시 에너지 +1,Energy +1 if DMG >= 5,Énergie +1 si dégâts >= 5,Energia +1 se subisci 5+ danni,Energía +1 si recibes 5+ daño,5以上のダメージを受けた時、エネルギー+1,+1 Ενέργεια αν δεχτείς 5+ ζημιά,受到 5 点以上伤害时能量 +1,受到 5 点以上伤害时能量 +1,Энергия +1 при уроне 5+,Energia +1 ao receber 5+ dano,Energia +1 przy obr. 5+,Energie +1 bei Schaden 5+
relic.emperors_seal.name,황제의 인장,Emperor's Seal,Sceau de l'Empereur,Sigillo dell'Imperatore,Sello del Emperador,皇帝の印章,Σφραγίδα του Αυτοκράτορα,皇帝印章,皇帝印章,Печать Императора,Selo do Imperador,Pieczęć Cesarza,Siegel des Kaisers
relic.emperors_seal.desc,전투 시작 시 사기 +2 (황제 생존 시 적용),Morale +2 if the Emperor lives,Morale +2 si l'Empereur vit,Morale +2 se l'Imperatore vive,Moral +2 si el Emperador vive,戦闘開始時、士気+2（皇帝生存時）,+2 Ηθικό αν ζει ο Αυτοκράτορας,战斗开始时士气 +2（皇帝存活时）,战斗开始时士气 +2（皇帝存活时）,Мораль +2 если Император жив,Moral +2 se o Imperador vive,Morale +2 jeśli Cesarz żyje,Moral +2 wenn Kaiser lebt
relic.serpent_bracelet.name,독사의 팔찌,Serpent Bracelet,Bracelet du serpent,Bracciale del Serpente,Brazalete de Serpiente,毒蛇の腕輪,Βραχιόλι του Φιδιού,毒蛇手镯,毒蛇手镯,Браслет змеи,Bracelete da Serpente,Bransoletka Węża,Schlangen-Armreif
relic.serpent_bracelet.desc,전투 시작 시 무작위 적 독 2 (파라오 생존 시 독 4),Poison 2 or 4 if the Pharaoh lives,Poison 2 ou 4 si la Pharaonne vit,Veleno 2 o 4 se la Faraona vive,Veneno 2 o 4 si la Faraona vive,戦闘開始時、毒2を付与（ファラオ生存時4）,2 ή 4 Δηλητήριο αν ζει η Φαραώ,战斗开始随机敌方中毒 2（法老存活时 4）,战斗开始随机敌方中毒 2（法老存活时 4）,Яд 2 или 4 если Фараон жив,Veneno 2 ou 4 se a Faraó vive,Trucizna 2 lub 4 jeśli Faraon żyje,Gift 2 oder 4 wenn Pharao lebt
relic.turtle_ship_model.name,거북선 모형,Turtle Ship Model,Maquette du bateau-tortue,Modello di Nave Tartaruga,Maqueta de Barco Tortuga,亀甲船の模型,Μοντέλο Πλοίου Χελώνα,龟船模型,龟船模型,Модель Корабля-черепахи,Modelo do Navio Tartaruga,Model Statku-Żółwia,Schildkrötenschiff-Modell
